ich,i, LangMaster de-en
super,Super, LangMaster de-en
sieben,seven, LangMaster de-en
erinnere,remember, LangMaster de-en
lhrer,yours, LangMaster de-en
ne,no, LangMaster de-en
rufe,shout, LangMaster de-en
bier,beer, LangMaster de-en
augenblick,moment, LangMaster de-en
herum,hereabouts, LangMaster de-en
kalt,cold, LangMaster de-en
wunderbar,Marvelous, LangMaster de-en
großartig,Great, LangMaster de-en
wahl,choice, LangMaster de-en
auge,eye, LangMaster de-en
fahr,drive, LangMaster de-en
konnten,could, LangMaster de-en
länger,longer, LangMaster de-en
tisch,table, LangMaster de-en
rum, around (colloquial form of herum), LangMaster de-en
antwort,answer, LangMaster de-en
jedem,each, LangMaster de-en
david,David, LangMaster de-en
arme,poor, LangMaster de-en
umgebracht,killed, LangMaster de-en
schlimm,terrible, LangMaster de-en
verheiratet,married, LangMaster de-en
steh,stand, LangMaster de-en
anrufen,call, LangMaster de-en
worte,words, LangMaster de-en
möchtest,want, LangMaster de-en
vorsicht,caution, LangMaster de-en
hilf,help, LangMaster de-en
bezahlt,paid, LangMaster de-en
voller,full of, LangMaster de-en
links,Left, LangMaster de-en
sekunden,seconds, LangMaster de-en
werdet,will, LangMaster de-en
wärst,would be, LangMaster de-en
liegen,lie, LangMaster de-en
fühlen,feel, LangMaster de-en
nochmal,once again, LangMaster de-en
armee,army, LangMaster de-en
bitten,ask, LangMaster de-en
gestorben,died, LangMaster de-en
Finger,finger, LangMaster de-en
meinung,opinion, LangMaster de-en
nimmt,takes, LangMaster de-en
zahlen,counting, LangMaster de-en
sicherheit,safety, LangMaster de-en
verkaufen,Selling, LangMaster de-en
gesprochen,spoken, LangMaster de-en
wozu,what for, LangMaster de-en
müde,tired, LangMaster de-en
seele,soul, LangMaster de-en
welcher,which, LangMaster de-en
schießen,shoot, LangMaster de-en
michael,Michael, LangMaster de-en
arbeite,work, LangMaster de-en
sitzt,sits, LangMaster de-en
to,to, LangMaster de-en
sonne,Sun, LangMaster de-en
damen,ladies, LangMaster de-en
laß,let, LangMaster de-en
bezahlen,pay, LangMaster de-en
selber,himself, LangMaster de-en
reise,trip, LangMaster de-en
team,team, LangMaster de-en
sobald,as soon as, LangMaster de-en
meister,master, LangMaster de-en
majestät,majesty, LangMaster de-en
anfang,Beginning, LangMaster de-en
fangen,catch, LangMaster de-en
außerdem,aside from that, LangMaster de-en
geschrieben,written, LangMaster de-en
sex,sex, LangMaster de-en
hole,get, LangMaster de-en
kriegt,gets, LangMaster de-en
yeah,yeah, LangMaster de-en
magst,like, LangMaster de-en
laut,according to, LangMaster de-en
Zieger, Hand (For the Clock), LangMaster de-en
art, Kunst, LangMaster de-en
Partei, political party, LangMaster de-en
party,party, LangMaster de-en
