kött,	meat, LangMaster sv-en
gnida,	rub, LangMaster sv-en
röret,	tube, LangMaster sv-en
känd,	famous, LangMaster sv-en
dollarn,	dollar, LangMaster sv-en
ström,	stream, LangMaster sv-en
rädsla,	fear, LangMaster sv-en
syn,	sight, LangMaster sv-en
tunn,	thin, LangMaster sv-en
triangel,	triangle, LangMaster sv-en
planet,	planet, LangMaster sv-en
skynda,	hurry, LangMaster sv-en
chef,	chief, LangMaster sv-en
koloni,	colony, LangMaster sv-en
klocka,	clock, LangMaster sv-en
gruva,	mine, LangMaster sv-en
slips,	tie, LangMaster sv-en
ange,	enter, LangMaster sv-en
större,	major, LangMaster sv-en
färsk,	fresh, LangMaster sv-en
sök,	search, LangMaster sv-en
skicka,	send, LangMaster sv-en
gul,	yellow, LangMaster sv-en
pistol,	gun, LangMaster sv-en
tillåta,	allow, LangMaster sv-en
tryck,	print, LangMaster sv-en
död,	dead, LangMaster sv-en
fläck,	spot, LangMaster sv-en
öken,	desert, LangMaster sv-en
kostym,	suit, LangMaster sv-en
ström,	current, LangMaster sv-en
lift,	lift, LangMaster sv-en
ros,	rose, LangMaster sv-en
anländer,	arrive, LangMaster sv-en
mästare,	master, LangMaster sv-en
spår,	track, LangMaster sv-en
förälder,	parent, LangMaster sv-en
stranden,	shore, LangMaster sv-en
delning,	division, LangMaster sv-en
ark,	sheet, LangMaster sv-en
substans,	substance, LangMaster sv-en
gynna,	favor, LangMaster sv-en
ansluta,	connect, LangMaster sv-en
inlägg,	post, LangMaster sv-en
spendera,	spend, LangMaster sv-en
ackord,	chord, LangMaster sv-en
fett,	fat, LangMaster sv-en
glad,	glad, LangMaster sv-en
original,	original, LangMaster sv-en
andel,	share, LangMaster sv-en
station,	station, LangMaster sv-en
pappa,	dad, LangMaster sv-en
bröd,	bread, LangMaster sv-en
debitera,	charge, LangMaster sv-en
ordentlig,	proper, LangMaster sv-en
baren,	bar, LangMaster sv-en
erbjudandet,	offer, LangMaster sv-en
segment,	segment, LangMaster sv-en
slav,	slave, LangMaster sv-en
anka,	duck, LangMaster sv-en
omedelbar,	instant, LangMaster sv-en
marknad,	market, LangMaster sv-en
grad,	degree, LangMaster sv-en
befolka,	populate, LangMaster sv-en
fågelunge,	chick, LangMaster sv-en
kära,	dear, LangMaster sv-en
fiende,	enemy, LangMaster sv-en
svara,	reply, LangMaster sv-en
dryck,	drink, LangMaster sv-en
inträffa,	occur, LangMaster sv-en
stöd,	support, LangMaster sv-en
tal,	speech, LangMaster sv-en
natur,	nature, LangMaster sv-en
intervall,	range, LangMaster sv-en
ånga,	steam, LangMaster sv-en
rörelse,	motion, LangMaster sv-en
bana,	path, LangMaster sv-en
vätska,	liquid, LangMaster sv-en
logga,	log, LangMaster sv-en
innebar,	meant, LangMaster sv-en
kvoten,	quotient, LangMaster sv-en
tänder,	teeth, LangMaster sv-en
skal,	shell, LangMaster sv-en
hals,	neck, LangMaster sv-en
syre,	oxygen, LangMaster sv-en
socker,	sugar, LangMaster sv-en
död,	death, LangMaster sv-en
ganska,	pretty, LangMaster sv-en
Förmåga,	skill, LangMaster sv-en
kvinnor,	women, LangMaster sv-en
säsong,	season, LangMaster sv-en
lösning,	solution, LangMaster sv-en
magnet,	magnet, LangMaster sv-en
silver,	silver, LangMaster sv-en
tack,	thank, LangMaster sv-en
gren,	branch, LangMaster sv-en
matchen,	match, LangMaster sv-en
suffixet,	suffix, LangMaster sv-en
speciellt,	especially, LangMaster sv-en
fig,	fig, LangMaster sv-en
rädd,	afraid, LangMaster sv-en
enormt,	huge, LangMaster sv-en
syster,	sister, LangMaster sv-en
stål,	steel, LangMaster sv-en
diskutera,	discuss, LangMaster sv-en
framåt,	forward, LangMaster sv-en
liknande,	similar, LangMaster sv-en
guide,	guide, LangMaster sv-en
erfarenhet,	experience, LangMaster sv-en
poäng,	score, LangMaster sv-en
äpple,	apple, LangMaster sv-en
köpt,	bought, LangMaster sv-en
ledde,	led, LangMaster sv-en
tonhöjd,	pitch, LangMaster sv-en
kappa,	coat, LangMaster sv-en
massa,	mass, LangMaster sv-en
kort,	card, LangMaster sv-en
band,	band, LangMaster sv-en
rep,	rope, LangMaster sv-en
halka,	slip, LangMaster sv-en
win,	win, LangMaster sv-en
dröm,	dream, LangMaster sv-en
kväll,	evening, LangMaster sv-en
tillstånd,	condition, LangMaster sv-en
foder,	feed, LangMaster sv-en
verktyg,	tool, LangMaster sv-en
totalt,	total, LangMaster sv-en
grundläggande,	basic, LangMaster sv-en
lukt,	smell, LangMaster sv-en
dal,	valley, LangMaster sv-en
eller,	nor, LangMaster sv-en
dubbel,	double, LangMaster sv-en
säte,	seat, LangMaster sv-en
fortsätta,	continue, LangMaster sv-en
blocket,	block, LangMaster sv-en
diagram,	chart, LangMaster sv-en
keps,	hat, LangMaster sv-en
sälja,	sell, LangMaster sv-en
framgång,	success, LangMaster sv-en
företaget,	company, LangMaster sv-en
subtrahera,	subtract, LangMaster sv-en
händelse,	event, LangMaster sv-en
särskilt,	particular, LangMaster sv-en
affär,	deal, LangMaster sv-en
simma,	swim, LangMaster sv-en
term,	term, LangMaster sv-en
motsatt,	opposite, LangMaster sv-en
fru,	wife, LangMaster sv-en
sko,	shoe, LangMaster sv-en
innovation,	innovation, LangMaster sv-en
spridning,	spread, LangMaster sv-en
ordna,	arrange, LangMaster sv-en
läger,	camp, LangMaster sv-en
uppfinna,	invent, LangMaster sv-en
bomull,	cotton, LangMaster sv-en
Född,	born, LangMaster sv-en
bestämma,	determine, LangMaster sv-en
quart,	quart, LangMaster sv-en
nio,	nine, LangMaster sv-en
lastbil,	truck, LangMaster sv-en
buller,	noise, LangMaster sv-en
nivå,	level, LangMaster sv-en
chans,	chance, LangMaster sv-en
samla,	gather, LangMaster sv-en
butik,	shop, LangMaster sv-en
sträcka,	stretch, LangMaster sv-en
kasta,	throw, LangMaster sv-en
glans,	shine, LangMaster sv-en
egenskap,	property, LangMaster sv-en
kolonn,	column, LangMaster sv-en
molekyl,	molecule, LangMaster sv-en
välj,	select, LangMaster sv-en
fel,	wrong, LangMaster sv-en
grå,	gray, LangMaster sv-en
upprepning,	repeat, LangMaster sv-en
kräva,	require, LangMaster sv-en
bred,	broad, LangMaster sv-en
förbereda,	prepare, LangMaster sv-en
salt,	salt, LangMaster sv-en
näsa,	nose, LangMaster sv-en
plural,	plural, LangMaster sv-en
ilska,	anger, LangMaster sv-en
krav,	claim, LangMaster sv-en
kontinent,	continent, LangMaster sv-en
