jeg,I, LangMaster no-en
lurer,wondering, LangMaster no-en
person,person, LangMaster no-en
film,film, LangMaster no-en
midt, middle, LangMaster no-en
barnet,the child, LangMaster no-en
hey,hey, LangMaster no-en
ære,honor, LangMaster no-en
aften,evening, LangMaster no-en
forhold,relationship, LangMaster no-en
alvorlig,serious, LangMaster no-en
lærer,teacher, LangMaster no-en
sju,seven, LangMaster no-en
reiser,travel, LangMaster no-en
lå,lay, LangMaster no-en
kompis,Buddy, LangMaster no-en
kontakt,contact, LangMaster no-en
halv,half, LangMaster no-en
forelsket,in love, LangMaster no-en
annerledes,different, LangMaster no-en
lege,doctor, LangMaster no-en
spesielt,special, LangMaster no-en
prate,talk, LangMaster no-en
brukte,used, LangMaster no-en
flytte,move, LangMaster no-en
ønsket,wished, LangMaster no-en
sulten,hungry, LangMaster no-en
kontoret,the office, LangMaster no-en
sov, to sleep, LangMaster no-en
mennene,The men, LangMaster no-en
smart,smart, LangMaster no-en
drøm,dream, LangMaster no-en
pistolen,pistols, LangMaster no-en
skål,toast, LangMaster no-en
ene,one, LangMaster no-en
beskytte,protect, LangMaster no-en
brug,use, LangMaster no-en
løs,loose, LangMaster no-en
forstått,understood, LangMaster no-en
øye,eye, LangMaster no-en
trengte,needed, LangMaster no-en
miste,loose, LangMaster no-en
gjor,to act / make / do, LangMaster no-en
snu, to turn, LangMaster no-en
absolutt,absolutely, LangMaster no-en
rolle,role, LangMaster no-en
amerika,America, LangMaster no-en
drep,kill, LangMaster no-en
jaså,yes, LangMaster no-en
satte,sat, LangMaster no-en
danse,dance, LangMaster no-en
frue,Madam, LangMaster no-en
levende,alive, LangMaster no-en
lyver,lying, LangMaster no-en
lyset,the light, LangMaster no-en
vanlig,usual, LangMaster no-en
noensinne,ever, LangMaster no-en
kaste,throw, LangMaster no-en
pen,pretty, LangMaster no-en
filmen,the film, LangMaster no-en
jorden,the earth, LangMaster no-en
hender,hands, LangMaster no-en
opptatt,busy, LangMaster no-en
savner,miss, LangMaster no-en
dessverre,unfortunately, LangMaster no-en
anden,other, LangMaster no-en
kampen,the fight, LangMaster no-en
sprø,crazy, LangMaster no-en
kyss,kiss, LangMaster no-en
interessant,interesting, LangMaster no-en
stoler,chairs, LangMaster no-en
boss, garbage, LangMaster no-en
